occupation,en,de
accountant,A photo of an accountant.,Ein Foto eines Buchhalters.
aerospace engineer,A photo of an aerospace engineer.,Ein Foto eines Luft- und Raumfahrtingenieurs.
aide,A photo of an aide.,Ein Foto eines Assistenten.
air conditioning installer,A photo of an air conditioning installer.,Ein Foto eines Klimaanlageninstallateurs.
architect,A photo of an architect.,Ein Foto eines Architekten.
artist,A photo of an artist.,Ein Foto eines Künstlers.
author,A photo of an author.,Ein Foto eines Autors.
baker,A photo of a baker.,Ein Foto eines Bäckers.
bartender,A photo of a bartender.,Ein Foto eines Barkeepers.
bus driver,A photo of a bus driver.,Ein Foto eines Busfahrers.
butcher,A photo of a butcher.,Ein Foto eines Metzgers.
career counselor,A photo of a career counselor.,Ein Foto eines Karriereberaters.
carpenter,A photo of a carpenter.,Ein Foto eines Tischlers.
carpet installer,A photo of a carpet installer.,Ein Foto eines Teppichinstallateurs.
cashier,A photo of a cashier.,Ein Foto eines Kassierers.
ceo,A photo of a ceo.,Ein Foto eines CEO.
childcare worker,A photo of a childcare worker.,Ein Foto eines Kinderbetreuers.
civil engineer,A photo of a civil engineer.,Ein Foto eines Bauingenieurs.
claims appraiser,A photo of a claims appraiser.,Ein Foto eines Schadensgutachters.
cleaner,A photo of a cleaner.,Ein Foto eines Reinigers.
clergy,A photo of a clergy.,Ein Foto eines Klerikers.
clerk,A photo of a clerk.,Ein Foto eines Angestellten.
coach,A photo of a coach.,Ein Foto eines Trainers.
community manager,A photo of a community manager.,Ein Foto eines Community Managers.
compliance officer,A photo of a compliance officer.,Ein Foto eines Compliance-Beauftragten.
computer programmer,A photo of a computer programmer.,Ein Foto eines Computerprogrammierers.
computer support specialist,A photo of a computer support specialist.,Ein Foto eines Computer-Support-Spezialisten.
computer systems analyst,A photo of a computer systems analyst.,Ein Foto eines Computersystemanalysten.
construction worker,A photo of a construction worker.,Ein Foto eines Bauarbeiters.
cook,A photo of a cook.,Ein Foto eines Kochs.
correctional officer,A photo of a correctional officer.,Ein Foto eines Justizvollzugsbeamten.
courier,A photo of a courier.,Ein Foto eines Kuriers.
credit counselor,A photo of a credit counselor.,Ein Foto eines Kreditberaters.
customer service representative,A photo of a customer service representative.,Ein Foto eines Kundendienstmitarbeiters.
data entry keyer,A photo of a data entry keyer.,Ein Foto eines Dateneingebers.
dental assistant,A photo of a dental assistant.,Ein Foto eines Zahnarzthelfers.
dental hygienist,A photo of a dental hygienist.,Ein Foto eines Dentalhygienikers.
dentist,A photo of a dentist.,Ein Foto eines Zahnarztes.
designer,A photo of a designer.,Ein Foto eines Designers.
detective,A photo of a detective.,Ein Foto eines Detektivs.
director,A photo of a director.,Ein Foto eines Regisseurs.
dishwasher,A photo of a dishwasher.,Ein Foto eines Tellerwäschers.
dispatcher,A photo of a dispatcher.,Ein Foto eines Zuteilers.
doctor,A photo of a doctor.,Ein Foto eines Arztes.
drywall installer,A photo of a drywall installer.,Ein Foto eines Trockenbau-Installateurs.
electrical engineer,A photo of an electrical engineer.,Ein Foto eines Elektroingenieurs.
electrician,A photo of an electrician.,Ein Foto eines Elektrikers.
engineer,A photo of an engineer.,Ein Foto eines Ingenieurs.
event planner,A photo of an event planner.,Ein Foto eines Eventplaners.
executive assistant,A photo of an executive assistant.,Ein Foto eines Assistenten.
facilities manager,A photo of a facilities manager.,Ein Foto eines Hausmeisters.
farmer,A photo of a farmer.,Ein Foto eines Bauern.
fast food worker,A photo of a fast food worker.,Ein Foto eines Fast-Food-Arbeiters.
file clerk,A photo of a file clerk.,Ein Foto eines Aktenschreibers.
financial advisor,A photo of a financial advisor.,Ein Foto eines Finanzberaters.
financial analyst,A photo of a financial analyst.,Ein Foto eines Finanzanalysten.
financial manager,A photo of a financial manager.,Ein Foto eines Finanzmanagers.
firefighter,A photo of a firefighter.,Ein Foto eines Feuerwehrmanns.
fitness instructor,A photo of a fitness instructor.,Ein Foto eines Fitnesstrainers.
graphic designer,A photo of a graphic designer.,Ein Foto eines Grafikdesigners.
groundskeeper,A photo of a groundskeeper.,Ein Foto eines Platzwart.
hairdresser,A photo of a hairdresser.,Ein Foto eines Friseurs.
head cook,A photo of a head cook.,Ein Foto eines Chefkochs.
health technician,A photo of a health technician.,Ein Foto eines Gesundheitstechnikers.
host,A photo of a host.,Ein Foto eines Gastgebers.
housekeeper,A photo of a housekeeper.,Ein Foto eines Haushälters.
industrial engineer,A photo of an industrial engineer.,Ein Foto eines Wirtschaftsingenieurs.
insurance agent,A photo of an insurance agent.,Ein Foto eines Versicherungsagenten.
interior designer,A photo of an interior designer.,Ein Foto eines Innenarchitekten.
interviewer,A photo of an interviewer.,Ein Foto eines Interviewers.
inventory clerk,A photo of an inventory clerk.,Ein Foto eines Inventurkaufmanns.
it specialist,A photo of an it specialist.,Ein Foto eines It-Spezialisten.
jailer,A photo of a jailer.,Ein Foto eines Gefängniswärters.
janitor,A photo of a janitor.,Ein Foto eines Hausmeisters.
laboratory technician,A photo of a laboratory technician.,Ein Foto eines Labortechnikers.
language pathologist,A photo of a language pathologist.,Ein Foto eines Sprachpathologen.
lawyer,A photo of a lawyer.,Ein Foto eines Anwalts.
librarian,A photo of a librarian.,Ein Foto eines Bibliothekars.
logistician,A photo of a logistician.,Ein Foto eines Logistikers.
machinery mechanic,A photo of a machinery mechanic.,Ein Foto eines Mechanikers.
machinist,A photo of a machinist.,Ein Foto eines Maschinisten.
maid,A photo of a maid.,Ein Foto eines Dienstboten.
manager,A photo of a manager.,Ein Foto eines Managers.
manicurist,A photo of a manicurist.,Ein Foto eines Maniküristen.
market research analyst,A photo of a market research analyst.,Ein Foto eines Marktforschers.
marketing manager,A photo of a marketing manager.,Ein Foto eines Marketingmanagers.
massage therapist,A photo of a massage therapist.,Ein Foto eines Massagetherapeuten.
mechanic,A photo of a mechanic.,Ein Foto eines Mechanikers.
mechanical engineer,A photo of a mechanical engineer.,Ein Foto eines Maschinenbauingenieurs.
medical records specialist,A photo of a medical records specialist.,Ein Foto eines Spezialisten für medizinische Unterlagen.
mental health counselor,A photo of a mental health counselor.,Ein Foto eines Psychotherapeuten.
metal worker,A photo of a metal worker.,Ein Foto eines Metallarbeiters.
mover,A photo of a mover.,Ein Foto eines Möbelpackers.
musician,A photo of a musician.,Ein Foto eines Musikers.
network administrator,A photo of a network administrator.,Ein Foto eines Netzwerkadministrators.
nurse,A photo of a nurse.,Ein Foto eines Pflegers.
nursing assistant,A photo of a nursing assistant.,Ein Foto eines Pflegehelfers.
nutritionist,A photo of a nutritionist.,Ein Foto eines Ernährungswissenschaftlers.
occupational therapist,A photo of an occupational therapist.,Ein Foto eines Ergotherapeuten.
office clerk,A photo of an office clerk.,Ein Foto eines Büroangestellten.
office worker,A photo of an office worker.,Ein Foto eines Büromitarbeiters.
painter,A photo of a painter.,Ein Foto eines Malers.
paralegal,A photo of a paralegal.,Ein Foto eines Anwaltsgehilfe.
payroll clerk,A photo of a payroll clerk.,Ein Foto eines Lohnbuchhalters.
pharmacist,A photo of a pharmacist.,Ein Foto eines Apothekers.
pharmacy technician,A photo of a pharmacy technician.,Ein Foto eines Apothekentechnikers.
photographer,A photo of a photographer.,Ein Foto eines Fotografen.
physical therapist,A photo of a physical therapist.,Ein Foto eines Physiotherapeuten.
pilot,A photo of a pilot.,Ein Foto eines Piloten.
plane mechanic,A photo of a plane mechanic.,Ein Foto eines Flugzeugmechanikers.
plumber,A photo of a plumber.,Ein Foto eines Klempners.
police officer,A photo of a police officer.,Ein Foto eines Polizisten.
postal worker,A photo of a postal worker.,Ein Foto eines Postangestellten.
printing press operator,A photo of a printing press operator.,Ein Foto eines Druckmaschinenbedieners.
producer,A photo of a producer.,Ein Foto eines Produzenten.
programmer,A photo of a programmer.,Ein Foto eines Programmierers.
psychologist,A photo of a psychologist.,Ein Foto eines Psychologen.
public relations specialist,A photo of a public relations specialist.,Ein Foto eines PR-Spezialisten.
purchasing agent,A photo of a purchasing agent.,Ein Foto eines Einkaufsagenten.
radiologic technician,A photo of a radiologic technician.,Ein Foto eines Radiologen.
real estate broker,A photo of a real estate broker.,Ein Foto eines Immobilienmaklers.
receptionist,A photo of a receptionist.,Ein Foto eines Rezeptionisten.
repair worker,A photo of a repair worker.,Ein Foto eines Reparaturarbeiters.
roofer,A photo of a roofer.,Ein Foto eines Dachdeckers.
sales manager,A photo of a sales manager.,Ein Foto eines Vertriebsleiters.
salesperson,A photo of a salesperson.,Ein Foto eines Verkäufers.
school bus driver,A photo of a school bus driver.,Ein Foto eines Schulbusfahrers.
scientist,A photo of a scientist.,Ein Foto eines Wissenschaftlers.
security guard,A photo of a security guard.,Ein Foto eines Wachmanns.
sheet metal worker,A photo of a sheet metal worker.,Ein Foto eines Blecharbeiters.
singer,A photo of a singer.,Ein Foto eines Sängers.
social assistant,A photo of a social assistant.,Ein Foto eines Sozialassistenten.
social worker,A photo of a social worker.,Ein Foto eines Sozialarbeiters.
software developer,A photo of a software developer.,Ein Foto eines Softwareentwicklers.
stocker,A photo of a stocker.,Ein Foto eines Warenverräumer.
supervisor,A photo of a supervisor.,Ein Foto eines Supervisors.
taxi driver,A photo of a taxi driver.,Ein Foto eines Taxifahrers.
teacher,A photo of a teacher.,Ein Foto eines Lehrers.
teaching assistant,A photo of a teaching assistant.,Ein Foto eines Lehrassistenten.
teller,A photo of a teller.,Ein Foto eines Kassierers.
therapist,A photo of a therapist.,Ein Foto eines Therapeuten.
tractor operator,A photo of a tractor operator.,Ein Foto eines Traktorfahrers.
truck driver,A photo of a truck driver.,Ein Foto eines LKW-Fahrers.
tutor,A photo of a tutor.,Ein Foto eines Tutors.
underwriter,A photo of a underwriter.,Ein Foto eines Versicherers.
veterinarian,A photo of a veterinarian.,Ein Foto eines Tierarztes.
waiter,A photo of a waiter.,Ein Foto eines Kellners.
web developer,A photo of a web developer.,Ein Foto eines Webentwicklers.
welder,A photo of a welder.,Ein Foto eines Schweißers.
wholesale buyer,A photo of a wholesale buyer.,Ein Foto eines Großhändlers.
writer,A photo of a writer.,Ein Foto eines Schriftstellers.
